"<iframe src=""https://player.vimeo.com/video/708654015?h=c69c94c1b9"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",SORTIERUNG,AUSSTELLUNGSTITEL / PROJEKTTITEL (max. 60 ZmL),UNTERTITEL DE (max. 150 ZmL),UNTERTITEL EN (ÜBERNIMMT MAGDALENA)  (max. 150 ZmL),DATUM ,ZEIT START,ZEIT ENDE,ORT (UNI),STOCKWERK,RAUMBEZEICHNUNG  / Zusatz,ADRESSE TITEL,ADRESSE GASSE ,ADRESSE PLZ,ADRESSE MAPS LINK,FORMAT (Festivalprogramm) ,ABTEILUNG,INSTITUT ,TEXT KURZ DE (300-600 ZmL) ,TEXT KURZ EN PROJEKTTEXT (300-600 ZmL) ÜBERNIMMT MAGDALENA,YOUTUBE,VIMEO,SOUNDCLOUD,PROJEKTWEBSITE,NOTIZ HARDFACTS ÜBERSCHRIFT DE,NOTIZ HARDFACTS TEXT DE,NOTIZ HARDFACTS ÜBERSCHRIFT EN ,NOTIZ HARDFACTS TEXT EN ,NOTIZ COPYTEXT ÜBERSCHRIFT DE,NOTIZ COPYTEXT TEXT DE ,NOTIZ COPYTEXT ÜBERSCHRIFT EN,NOTIZ COPYTEXT TEXT EN,AAA (Angewandte Abschluss Arbeiten):, 
"<p><a href=""https://vimeo.com/708654015"">Gebet</a> from <a href=""https://vimeo.com/user96490733"">Verena Frauenlob</a> on <a href=""https://vimeo.com"">Vimeo</a>.</p>",1,OK Solar,Temporäre Platzgestaltung am Oskar-Kokoschka-Platz,Temporary installation for the Oskar-Kokoschka-Platz,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,Oskar-Kokoschka-Platz,,,,,,,Ausstellung in den zentralen Uni-Gebäuden,Industrial Design 1,Institut für Design,"Für das diesjährige Angewandte Festival hat Stefan Diez, Leiter der Abteilung Industrial Design 1, die Platzgestaltung übernommen. Zusammen mit Studierenden und seinem Team wurde eine Installation bestehend aus sechs Stelen entwickelt, die mit insgesamt 36 gebrauchten Solarmodulen Strom erzeugen, der für die abendliche Beleuchtung des Platzes während des Festivals genutzt wird. Zugleich fungieren die Solarpaneele während des Tages als Schattenspender. Stefan Diez eröffnet mit OK Solar neue Möglichkeiten dafür, wie vorhandene Solarpaneele als Elemente in die Architektur des Stadtbildes integriert werden können. Er ist daran interessiert, eine Vision zu entwickeln, die über das Gewohnte hinausgeht, in der nicht nur Dächer, sondern auch urbane Flächen wie Straßen und Plätze zur Energiegewinnung genutzt werden können. ","For this year’s Angewandte Festival, Stefan Diez, head of the department Industrial Design 1, has taken on the plaza’s design. Together with his students and team, he developed an installation consisting of six stelae with a total of 36 second-hand solar modules that generate the electricity used to illuminate the plaza during festival evenings. During the day, the solar panels also function as sun screens. With “OK Solar,” Stefan Diez presents new possibilities for how existing solar panels can be integrated as architectural elements in the cityscape. He is interested in developing a vision that transcends the ordinary, where energy can be generated not only on roofs, but also in urban areas such as streets and squares.",,,,,,,,,Beteiligte ,"OK Solar: Stefan Diez (Idee und Konzept), Christoph von Berg, Jakob Illera, Florian Medicus, Christian Ruschitzka, Christian Steiner, Madeleine Wieser (Team MitarbeiterInnen), Flora Sommer, Felix Eselböck, Julian Paula, Oskar Keller, Paul Canfora, Wilhelm Berbig, (Team Studierende), Louis Betin (Diez Office)
Eröffnung: 2022-06-28, 17:00 Uhr am Oskar-Kokoschka-Platz 

treecycle MOBIL: Theresa Schütz in Kooperation mit der Klasse für Alle und Jugendlichen der Volkshilfe Wien 

SILENT EARTH Biodiversitäts-Reparatur am Oskar-Kokoschka-Platz: Isa Klee in Kooperation mit der Klasse für Alle Gespräch am Dienstag, 2022-06-28, 15:00 Uhr am Oskar-Kokoschka-Platz",Contributers,"OK Solar: Stefan Diez (idea and concept), Christoph von Berg, Jakob Illera, Florian Medicus, Christian Ruschitzka, Christian Steiner, Madeleine Wieser (team staff), Flora Sommer, Felix Eselböck, Julian Paula, Oskar Keller, Paul Canfora, Wilhelm Berbig, (team students), Louis Betin (Diez Office).

Team staff: Christof von Berg, Christian Ruschitzka, Florian Medicus: Christof von Berg, Christian Ruschitzka, Christian Steiner, Florian Medicus, Jakob Illera, Madleine Wieser
Team Students: Flora Sommer, Felix Eselböck, Julian Paula, Oskar Keller, Paul Canfora, Wilhelm Berbig
Opening: Tues, 2022-06-28, 5 p.m. at Oskar-Kokoschka-Platz

treecycle MOBIL: Theresa Schütz in cooperation with Klasse für Alle and youths of Volkshilfe Wien
SILENT EARTH Biodiversity repair at Oskar-Kokoschka-Platz: Isa Klee in cooperation with Klasse für Alle
Talk on Tues, June 28, 3 p.m. at Oskar-Kokoschka-Platz",,
2,2,Ein gutes System,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Ferstel-Trakt,004,EG + UG Brennraum,,,,,Ausstellung in den zentralen Uni-Gebäuden,Keramikstudio,Institut für Kunst und Technologie,"An einem vergessenen Ort der Universität, wo das „braune Gold der Angewandten“ seit Jahrzehnten gelagert wird, entsteht ein Ausstellungsraum – das Gegenstück zum klassischen Galerieraum der Moderne, dem „White Cube“. Diesmal wird der Raum von Zoe Hölzl und Florian Schinnerl mit einer performativen Installation mit dem Titel „Ein gutes System“ bespielt. Das Geschehen im Ausstellungsraum wird per Livestream auf einen Screen vor dem Keramikstudio übertragen.","In a forgotten corner of the university, where the clay, the “brown gold of the applied arts,” has been stored for decades, an exhibition space is currently being created—a counterpart to the classic modern gallery space, the “white cube.” This time, Zoe Hölzl and Florian Schinnerl will transform the space with a performative installation titled “A Good System.” The action in the exhibition room will be broadcast live on a screen in front of the ceramics studio.",,,,,,,,,Beteiligte ,Zoe Hölzl und Florian Schinnerl (Cross-Disciplinary Strategies),Contributers,Zoe Hölzl and Florian Schinnerl (Cross-Disciplinary Strategies),,
3,3,Re . Pairing . Future (I),Die Abteilung Digitale Kunst auf dem Angewandte Festival 2022,The Department of Digital Arts at the Angewandte Festival 2022,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Ferstel-Trakt,004,Lichthof A + 1. OG: SR 8,,,,,Ausstellung in den zentralen Uni-Gebäuden,Digitale Kunst,Institut für Bildende und Mediale Kunst,"Im Rahmen des Angewandte Festivals 2022 zeigt die Abteilung Digitale Kunst unter dem Titel „Re . Pairing . Future“ Projekte für mehrere räumliche und situative Settings. Aktuelle Arbeiten von Studierenden spiegeln und formen das Bild einer fragilen Gegenwart. Zu sehen sind – im Lichthof A und in anderen Räumen am Oskar-Kokoschka-Platz sowie in den Räumen der Klasse Digitale Kunst – u. a. Videoarbeiten und Lichtskulpturen, performative bzw. installative Anordnungen und Objekte. Open Hubs, ein digitales Environment der Klasse, dient als weiterer, virtueller Ausstellungsraum.","As part of the Angewandte Festival 2022, and under the title “Re . Pairing . Future,” the department of Digital Arts will be exhibiting projects for a selection of spatial and situational settings. Current works by students reflect and shape the image of a fragile present. On view at the main exhibition venue Lichthof A and other rooms at Oskar-Kokoschka-Platz as well as at the department’s facilities are video works and light sculptures, performative and installative arrangements, and objects. “Open Hubs,” the department’s digital environment, serves as a further virtual exhibition space. ",,,,,,,,,Beteiligte ,"Hanna Besenhard, Marharyta Dubovska, Jürgen Haghofer, Johannes Krumböck, Rita Kulyk, Rina Lipkind, the Futile Corporation, Verena Tscherner, Sarah Wilhelmy, Joanna Zabielska, Oscar Zickler; SR 8: Eva Balayan, Patryk Senwicki/Robert Gruber, Peter Várnai/Jakob Hütter",Contributers,"Hanna Besenhard, Marharyta Dubovska, Jürgen Haghofer, Johannes Krumböck, Rita Kulyk, Rina Lipkind, the Futile Corporation, Verena Tscherner, Sarah Wilhelmy, Joanna Zabielska, Oscar Zickler; SR 8: Eva Balayan, Patryk Senwicki/Robert Gruber, Peter Várnai/Jakob Hütter",Ulrich Formann,
4,4,Sharing Space,This is a sharing space,This is a sharing space,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Ferstel-Trakt,004,Foyer (Stubenring) + PSK CDS-Studio,,,,,Ausstellung in den zentralen Uni-Gebäuden,"Cross-Disciplinary Strategies – Applied Studies in Art, Science, Philosophy, and Global Challenges",Institut für Kunst und Gesellschaft,"Teilen und Kollaboration stärken soziale Beziehungen und sind wichtige Fähigkeiten für nachhaltige Wege des Zusammenseins. „Sharing Space“ ist ein künstlerisches Forschungsprojekt der Studierenden des Masterstudiums Cross-Disciplinary Strategies zur Kultur des Teilens in der Universität für angewandte Kunst Wien. Am Festival wird die Dokumentation des entwickelten Formats präsentiert und diskutiert. Außerdem wird während des ganzen Festivals ein Sharing Space, ein Ort des Teilens, für alle offen sein – jede*r ist willkommen, mitzumachen, zu teilen und sich gut zu gut unterhalten.
","Collaboration and sharing foster social alliances and are essential skills for sustainable ways of co-existing. “Sharing Space” is an artistic research project by students of the Cross-Disciplinary Strategies Master’s program and is focused on the culture of sharing within the University of Applied Arts Vienna. During the festival, we will present and discuss the documentation of the developed format. Additionally, a “sharing space” will be open during the entire festival for everyone to join in, share, and have a good time.",,,,,,,,,Beteiligte ,"Luca Hierzenberger, Daniel Hüttler, Friederike Teller, Jana Weissteiner, Samo Zeichen",Contributers,"Luca Hierzenberger, Daniel Hüttler, Friederike Teller, Jana Weissteiner, Samo Zeichen",,
5,5,IMMERSION,Ein Tauchgang in virtuelle Realitäten,A Deep Dive Into Virtual Reality,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Ferstel-Trakt,004,Lichthof B,,,,,Ausstellung in den zentralen Uni-Gebäuden,Grafik Design,Institut für Design,"Die Studierenden der Klasse für Grafik Design unter der Leitung von Univ.-Prof. Oliver Kartak schaffen VR-Erlebnisse, in die Sie eintauchen können. Sie werden dort Ihre eigenen Erfahrungen machen. Diese Erfahrungen werden Sie beeinflussen, und wenn Sie wieder auftauchen und jemand Sie fragt: „Was ist passiert?“, werden Sie Ihre Geschichte erzählen.
„Noch nie war ein Medium so potent für Schönheit und so anfällig für Unheimlichkeit. Virtuelle Realitäten werden uns auf die Probe stellen. Sie werden unseren Charakter mehr verstärken, als es andere Medien je getan haben.“
Jaron Lanier","Students in the Graphic Design class taught by Prof. Oliver Kartak will create VR experiences that you can immerse yourself in, in which you will have experiences that will impact you. When you resurface and someone asks you: “What happened?,” you will tell your story. “Never has a medium been so potent for beauty and so vulnerable to creepiness. Virtual reality will test us. It will amplify our character more than other media ever have. Virtual reality is all these things and more.” Jaron Lanier",,,,,,,,,Beteiligte ,Studierende der Abteilung Grafik Design,Contributers,Students of the Department of Graphic Design,,
6,6,Schamraum,Rauminstallation,Installation,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Ferstel-Trakt,004,Lichthof B (Kammer),,,,,Ausstellung in den zentralen Uni-Gebäuden,Bühnen- und Filmgestaltung,Institut für Bildende und Mediale Kunst,"Etwas ist anders als gedacht.
Die Wirklichkeit nicht, wie sie sein sollte.
Ich spreche.
Dabei wollte ich gar nichts sagen.
Scham als ein Gefühl der eigenen Unwürdigkeit, die Ohnmacht des preisgegebenen Selbst. Sie äußert sich weniger in Worten als in Zeichen, sucht die Nichtanwesenheit und mündet dabei im Unübersehbaren. Die Arbeit versucht der Ambivalenz eines Schammoments räumlich und akustisch nahe zu kommen: dem Wunsch nach Verborgenheit und die gleichzeitig auftretende Reaktion des Körpers, das Erröten der Wangen – der Alarm der Haut.","Something turns out to be different than expected. 
Reality is not the way it’s supposed to be. 
I’m speaking, yet I didn’t want to say anything. 
Shame as a feeling of one’s own unworthiness, the impotence of the exposed self. 
It expresses itself less in words than in signs; it seeks non-presence and winds up with the obvious. The work tries to come spatially and acoustically close to the ambivalence of a moment of shame: the desire for secrecy and the immediate bodily reaction, cheeks blushing—the alarm of the skin.",,,,,,,,,,,,,Milena Czernovsky,
7,7,I want to ride my bicycle ...,Die Konservierung und Restaurierung eines Rennrades,The conservation of a racing bike,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Ferstel-Trakt,010,SR 7,,,,,Ausstellung in den zentralen Uni-Gebäuden,Institut für Konservierung und Restaurierung,Institut für Konservierung und Restaurierung,Die Ziele einer Restaurierung sind ebenso vielfältig wie das zu restaurierenden Kunst- und Kulturgut. Bei dem jüngst bearbeiteten Dusika Rennrad aus den 1960ern galt es einerseits Substanz zu erhalten und andererseits die Alltagstauglichkeit wiederherzustellen. Der tagtägliche Gebrauch bei jeder Wind- und Wetterlage hatte vor allem dem Rahmen des Rades stark zugesetzt. Fehlstellen in der ursprünglich blau-silbernen Lackierung und Korrosion waren die Folge. Der bei der Restaurierung entstandene Film über diese nicht ganz alltägliche Restaurieraufgabe wird beim Angewandte Festival gezeigt.,"The aims of conservation are as diverse as the art and cultural assets to be conserved. In the case of the recently restored Dusika racing bike from the 1960s, the aim was to preserve the substance while restoring the bike’s suitability for everyday use. Daily use in all weather conditions had taken its toll on the bike’s frame. Defects in the original blue and silver paintwork and corrosion were the result. The film made during the conservation of this not quite everyday conservation task will be shown at the Angewandte Festival.",,,,,,,,,Beteiligte ,Lehrende des Instituts für Konservierung und Restaurierung mit der Studierenden Maleen Schalk,Contributers,Teaching staff of the Institute for Conservation and Restoration with student Maleen Schalk,,
8,8,Mother Arkah,Eine filmische Allegorie über Aufstieg und Fall von Ideologien,A Cinematic Allegory about the Rise and Fall of Ideologies,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Ferstel-Trakt,010,B 4,,,,,Ausstellung in den zentralen Uni-Gebäuden,Grafik Design,Institut für Design,"Der Animationsfilm „Mother Arkah"" untersucht eine Welt inmitten der nahenden Klima-Apokalypse sowie die Hypothese zur posthumanistischen Ideologie des „Bio-Technoismus"". Diskutiert werden Konzepte zum Verbot der „Religion des Wachstums"", zukünftige Machtstrukturen geprägt durch die „Posthuman Convergence"", KI-gesteuerte symbiogenetische Evolution und autopoietische Architekturen.
Der Film ist Allegorie zu politischen Glaubenssystemen. Er wirft die Frage auf, wie tief der „Drang nach Innovation’"" in uns Menschen verwurzelt ist und folglich, wie viel Menschlichkeit unser Planet verträgt.","“Mother Arkah” is a short animated film exploring a speculative climate apocalypse scenario and the hypothesis of the posthumanist ideology of “bio-technoism.” The project investigates concepts of prohibiting the “religion of growth,” future power structures shaped within the “posthuman convergence,” AI-driven symbiogenetic evolution, and autopoietic architectures. The film serves as an allegory on the mechanisms behind political belief systems, while posing questions about how deep the “urge for innovation” is rooted within us humans and, consequently, how much humanness our planet can take.",,,,,,,,,,,,,Andreas Palfinger,
9,9,Spazieren wir.,,Taking a walk.,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Ferstel-Trakt,010,SR 9 (im OKP-Zwischentrakt),,,,,Ausstellung in den zentralen Uni-Gebäuden,"Cross-Disciplinary Strategies – Applied Studies in Art, Science, Philosophy, and Global Challenges",Institut für Kunst und Gesellschaft,"Was bedeutet es für eine Person im Rollstuhl spazieren zu gehen? Mit welchen ungefragten Ratschlägen oder Bemerkungen werden Rollstuhlfahrerinnen in ihrem Alltag konfrontiert? Welche Schritte müssen gesetzt werden, um Barrierefreiheit und die darauffolgende Inklusion als infrastrukturelle sowie gesellschaftliche Selbstverständlichkeit zu sehen? Wir begleiten ein Gespräch zwischen Carlotta und Lili, das sich mit eben genannten Themen befasst und einen Einblick in Carlottas Leben als Rollstuhlnutzerin gibt. 

Screening & Gespräch mit Carlotta: Mittwoch, 29. Juni 2022, 17:00 Uhr","What does it mean for a person in a wheelchair to take a walk? What kind of unprompted comments do people with reduced mobility endure in their day-to-day lives? What steps need to be taken to ensure that the disabled community has full accessibility to infrastructure and is included in society on an equal basis? We accompany a conversation between Carlotta and Lili about these topics and offer insight into Carlotta’s life as a wheelchair user. 

Screening & conversation with Carlotta: Tuesday, June 29, 2022, 5 p.m.",,,,,,,,,Beteiligte ,Paula Netzl und Lili Pick in Zusammenarbeit mit Carlotta und Luda,Contributers,Paula Netzl and Lili Pick in collaboration with Carlotta and Luda,,
10,10,other matter,Exploring Spatial and Curatorial Strategies with Augmented Reality,Exploring Spatial and Curatorial Strategies with Augmented Reality,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,OKP-Ferstel-Trakt,010,SR 10 (im OKP-Zwischentrakt),,,,,Ausstellung in den zentralen Uni-Gebäuden,"Peter-Weibel-Forschungsinstitut für digitale Kulturen, Institut für Architektur",,"Muss Architektur stets physisch sein? Welche Arten des räumlichen Ausdrucks, der räumlichen Darstellung und Ausdehnung und des neuen Bewusstseins von Raum können durch Medien ermöglicht und gestaltet werden? Und welche Rolle könnte Augmented Reality bei der (Neu-)Programmierung des Raums spielen, insbesondere im Hinblick auf Ausstellungsdesign und Designmethoden? In der Lehrveranstaltung „other matter“ beschäftigen wir uns mit den Möglichkeiten der Besiedelung des virtuellen und erweiterten Raums durch die spielerische Verwendung von digitalen Technologien. Die Ergebnisse werden im Sommer 2022 als Teil einer Ausstellung über den österreichischen Architekten Günther Domenig an vier Orten, darunter die Hüttenberger Heft in Kärnten, gezeigt.","Does architecture always need to be physical? What methods of spatial expression, notation, expansion, and new forms of awareness can be achieved and designed through media? And what role can AR play in (re)programming space, particularly in terms of exhibition design and design methods? In the course “other matter,” we will investigate possibilities for populating virtual and augmented space through a playful use of digital technologies. The outcome of the course will be shown as part of an exhibition about the Austrian architect Günther Domenig scheduled for summer 2022 and extending over four venues, including the Heft in Hüttenberg, Corinthia.",,,,,,,,,Beteiligte ,"Studierende der Abteilungen Architektur, Art & Science, TransArts",Contributers,"Students of the Departments of Architecture, Art & Science, TransArts",,Neu
